,portfolio_n,asset,price_bop,price_eop,proportion,returns
353,10,LINABTC,0.00000085,0.00000083,0.16166911339894063,
354,10,STMXBTC,0.00000052,0.00000051,0.01611797768491706,
355,10,TCTBTC,0.00000053,0.00000051,0.005568698546377719,
356,10,PHBBTC,0.00000017,0.00000016,0.11750724065344659,
357,10,QKCBTC,0.00000052,0.00000051,0.10563147140595248,
358,10,CNDBTC,0.00000028,0.00000027,0.010161424574993881,
359,10,VIBBTC,0.00000093,0.00000091,0.08939552427240574,
360,10,MTHBTC,0.00000067,0.00000064,0.023956585100867633,
361,10,BAKEBTC,0.00003519,0.00003433,0.006903214451160382,
362,10,CKBBTC,0.00000027,0.00000026,0.09349500304703898,
363,10,CELOBTC,0.00009694,0.00009590,0.016739942494805544,
364,10,VIDTBTC,0.00001702,0.00001670,0.07091833991205303,
365,10,AVAXBTC,0.00091690,0.00090930,0.025551618035597363,
366,10,LUNABTC,0.00061300,0.00060710,0.005262946010598192,
367,10,SANDBTC,0.00001219,0.00001206,0.00524422228322903,
368,10,SRMBTC,0.00012350,0.00012230,0.0018708250298262426,
369,10,DGBBTC,0.00000085,0.00000082,0.0022133212551296026,
370,10,COSBTC,0.00000039,0.00000037,0.08665461565236265,
371,10,PIVXBTC,0.00001272,0.00001261,0.02512385053186603,
372,10,MANABTC,0.00001245,0.00001234,0.05596696370322257,
373,10,AMBBTC,0.00000059,0.00000058,0.037688361647522324,
374,10,TRXBTC,0.00000165,0.00000163,0.06546436770923576,
375,10,IOTABTC,0.00002164,0.00002152,0.002182430244394029,
376,10,AKROBTC,0.00000051,0.00000050,0.010295494832949215,
377,10,IDEXBTC,0.00000508,0.00000502,0.10439326043263643,
378,10,FTTBTC,0.00094040,0.00093830,0.0053536197021954125,
379,10,XTZBTC,0.00011479,0.00011349,0.029678550865728005,
380,10,ATOMBTC,0.00054900,0.00054250,0.009064454509675399,
381,10,FETBTC,0.00001186,0.00001183,0.03512081899370153,
382,10,SCBTC,0.00000031,0.00000030,0.05397909302874509,
383,10,BTSBTC,0.00000084,0.00000081,0.024763113638676237,
384,10,WAVESBTC,0.00050490,0.00049670,0.06955241900774263,
385,10,RADBTC,0.00021220,0.00020730,0.009886472090391802,
386,10,AVABTC,0.00004861,0.00004822,0.0814637512775297,
387,10,TKOBTC,0.00003491,0.00003300,0.046782337656811605,
388,10,DOTBTC,0.00066850,0.00066240,0.0950786923025126,
389,10,QSPBTC,0.00000099,0.00000098,0.025056556343755306,
390,10,RAREBTC,0.00003209,0.00003148,0.005218608335340933,
391,10,MITHBTC,0.00000084,0.00000082,0.07328403733476187,
392,10,RSRBTC,0.00000056,0.00000054,0.008339313183274211,
393,10,YOYOBTC,0.00000041,0.00000040,0.1184321561091749,
394,11,ALPACABTC,0.00001586,0.00001576,0.05406379553878589,
395,11,MDXBTC,0.00002175,0.00002180,0.0022030948665582497,
396,11,CAKEBTC,0.00032210,0.00032300,0.001051278981469445,
397,11,REEFBTC,0.00000044,0.00000043,0.0583025556884228,
398,11,GOBTC,0.00000054,0.00000053,0.029242837417653256,
399,11,NASBTC,0.00000690,0.00000670,0.014891110611982566,
400,11,QLCBTC,0.00000056,0.00000055,0.00969113924987263,
401,11,XVGBTC,0.00000042,0.00000041,0.12069441946417567,
402,11,FUNBTC,0.00000035,0.00000034,0.026006277291176782,
403,11,QTUMBTC,0.00020800,0.00021020,0.009651231770514364,
404,11,C98BTC,0.00005769,0.00005847,0.012579875211506376,
405,11,LINABTC,0.00000083,0.00000084,0.16166911339894063,
406,11,STMXBTC,0.00000051,0.00000051,0.01611797768491706,
407,11,TCTBTC,0.00000052,0.00000051,0.05131254408539452,
408,11,PHBBTC,0.00000017,0.00000016,0.11750724065344659,
409,11,QKCBTC,0.00000051,0.00000051,0.12499164302065484,
410,11,CNDBTC,0.00000028,0.00000027,0.010161424574993881,
411,11,VIBBTC,0.00000091,0.00000090,0.05769299830216212,
412,11,MTHBTC,0.00000064,0.00000063,0.04632507601185704,
413,11,BAKEBTC,0.00003423,0.00003435,0.006903214451160382,
414,11,CKBBTC,0.00000026,0.00000026,0.04366991724294436,
415,11,CELOBTC,0.00009524,0.00009548,0.0076357054530195685,
416,11,VIDTBTC,0.00001664,0.00001650,0.07091833991205303,
417,11,AVAXBTC,0.00090340,0.00091530,0.025551618035597363,
418,11,LUNABTC,0.00060370,0.00060770,0.005262946010598192,
